Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,411.779999,422.010010,410.000000,419.220001,419.220001,13319600
2019-12-24,418.359985,425.470001,412.690002,425.250000,425.250000,8054700
2019-12-26,427.910004,433.480011,426.350006,430.940002,430.940002,10633900
2019-12-27,435.000000,435.309998,426.109985,430.380005,430.380005,9945700
2019-12-30,428.790009,429.000000,409.260010,414.700012,414.700012,12586400
2019-12-31,405.000000,421.290009,402.079987,418.329987,418.329987,10285700
2020-01-02,424.500000,430.700012,421.709991,430.260010,430.260010,9532100
2020-01-03,440.500000,454.000000,436.920013,443.010010,443.010010,17778500
2020-01-06,440.470001,451.559998,440.000000,451.540009,451.540009,10133000
2020-01-07,461.399994,471.630005,453.359985,469.059998,469.059998,17882100
2020-01-08,473.700012,498.489990,468.230011,492.140015,492.140015,31144300
2020-01-09,497.100006,498.799988,472.869995,481.339996,481.339996,28440400
2020-01-10,481.790009,484.940002,473.700012,478.149994,478.149994,12959500
2020-01-13,493.500000,525.630005,492.000000,524.859985,524.859985,26517600
2020-01-14,544.260010,547.409973,524.900024,537.919983,537.919983,28996200
2020-01-15,529.760010,537.840027,516.789978,518.500000,518.500000,17368800
2020-01-16,493.750000,514.460022,492.170013,513.489990,513.489990,21736700
2020-01-17,507.609985,515.669983,503.160004,510.500000,510.500000,13629100
2020-01-21,530.250000,548.580017,528.409973,547.200012,547.200012,17803500
2020-01-22,571.890015,594.500000,559.099976,569.559998,569.559998,31369000
2020-01-23,564.250000,582.000000,555.599976,572.200012,572.200012,19651000
2020-01-24,570.630005,573.859985,554.260010,564.820007,564.820007,14353600
2020-01-27,541.989990,564.440002,539.280029,558.020020,558.020020,13608100
2020-01-28,568.489990,576.809998,558.080017,566.900024,566.900024,11788500
2020-01-29,575.690002,589.799988,567.429993,580.989990,580.989990,17801500
2020-01-30,632.419983,650.880005,618.000000,640.809998,640.809998,29005700
2020-01-31,640.000000,653.000000,632.520020,650.570007,650.570007,15719300
2020-02-03,673.690002,786.140015,673.520020,780.000000,780.000000,47233500
2020-02-04,882.960022,968.989990,833.880005,887.059998,887.059998,60938800
2020-02-05,823.260010,845.979980,704.109985,734.700012,734.700012,48423800
2020-02-06,699.919983,795.830017,687.000000,748.960022,748.960022,39880800
2020-02-07,730.549988,769.750000,730.000000,748.070007,748.070007,17063500
2020-02-10,800.000000,819.989990,752.400024,771.280029,771.280029,24689200
2020-02-11,768.789978,783.510010,758.000000,774.380005,774.380005,11697500
2020-02-12,777.869995,789.750000,763.369995,767.289978,767.289978,12022500
2020-02-13,741.840027,818.000000,735.000000,804.000000,804.000000,26289300
2020-02-14,787.219971,812.969971,785.500000,800.030029,800.030029,15693700
2020-02-18,841.599976,860.000000,832.359985,858.400024,858.400024,16381700
2020-02-19,923.500000,944.780029,901.020020,917.419983,917.419983,25423000
2020-02-20,911.950012,912.000000,859.940002,899.409973,899.409973,17634900
2020-02-21,906.979980,913.059998,880.450012,901.000000,901.000000,14314800
